Date,USD,GBP,EURO,YEN
11/6/2013,61.9225,99.5961,83.6375,62.81
11/7/2013,62.574,100.6252,84.6225,63.46
11/8/2013,62.7315,100.9224,84.0625,63.94
11/11/2013,63.2955,101.3614,84.595,63.97
11/12/2013,63.593,101.558,85.1515,63.85
11/13/2013,63.6545,101.1661,85.5502,63.94
11/14/2013,63.0645,101.1492,84.9475,63.31
11/18/2013,62.625,101.0642,84.555,62.59
11/19/2013,62.2311,100.1796,84.0585,62.32
11/20/2013,62.558,100.7747,84.7104,62.51
11/21/2013,62.8895,101.1389,84.418,62.45
11/22/2013,63.0236,102.0415,84.9199,62.37
11/25/2013,62.577,101.4248,84.7,61.43
11/26/2013,62.447,100.8644,84.504,61.51
11/27/2013,62.3625,101.1083,84.6755,61.43
11/28/2013,62.3896,101.8011,84.7547,61.1
11/29/2013,62.3948,102.0592,84.9755,60.97
12/2/2013,62.226,102.1378,84.641,60.74
12/3/2013,62.3443,102.0639,84.457,60.38
12/4/2013,62.333,102.1825,84.6848,60.77
12/5/2013,61.6895,101.0782,84.069,60.44
12/6/2013,61.6673,100.6472,84.2546,60.4
12/9/2013,61.1785,100.0146,83.8195,59.38
12/10/2013,61.207,100.6488,84.151,59.29
12/11/2013,61.3313,100.7919,84.378,59.72
12/12/2013,61.62,100.835,84.982,60.03
12/13/2013,62.1266,101.5335,85.4135,59.9
12/16/2013,62.1024,101.2704,85.4284,60.4
12/17/2013,61.958,101.1402,85.3345,60.17
12/18/2013,61.9176,100.8328,85.2692,60.16
12/19/2013,62.38,102.1535,85.2945,59.98
12/20/2013,62.242,101.8092,84.8774,59.59
12/23/2013,61.9915,101.3747,84.818,59.58
12/24/2013,61.8668,101.1027,84.651,59.37
12/26/2013,61.9755,101.4911,84.7925,59.15
12/27/2013,62.0595,102.032,85.2748,59.23
12/30/2013,62.0028,102.1682,85.1855,58.86
12/31/2013,61.897,102.0094,85.3635,58.97
1/1/2014,61.9335,102.3885,85.1235,58.83
1/2/2014,61.902,102.7418,85.1556,58.79
1/3/2014,62.4075,102.5355,85.195,59.9
1/6/2014,62.3265,101.9911,84.6151,59.73
1/7/2014,62.379,102.2454,84.972,59.71
1/8/2014,62.243,102.1719,84.8185,59.34
1/9/2014,62.181,102.3126,84.496,59.29
1/10/2014,61.936,102.0643,84.305,59.01
1/13/2014,61.52,101.4772,84.111,59.49
1/15/2014,61.5885,101.0914,83.9915,58.99
1/16/2014,61.5325,100.7349,83.8395,58.77
1/17/2014,61.3518,100.212,83.5223,58.78
1/20/2014,61.6345,101.2532,83.4245,59.19
1/21/2014,61.5355,101.0844,83.375,58.87
1/22/2014,61.92,101.976,83.9267,59.3
1/23/2014,61.988,102.6707,83.9765,59.42
1/24/2014,62.177,103.3817,85.0894,60.14
1/27/2014,62.7145,103.504,85.8228,61.21
1/28/2014,62.9898,104.6135,86.1715,61.36
1/29/2014,62.2005,103.116,84.964,60.22
1/30/2014,62.7335,103.8679,85.6075,61.22
1/31/2014,62.4768,102.9493,84.6022,60.96
2/3/2014,62.6891,102.9668,84.578,61.41
2/4/2014,62.6815,101.9765,84.7805,62.12
2/5/2014,62.4525,102.0099,84.3548,61.58
2/6/2014,62.5045,101.9198,84.4994,61.59
2/7/2014,62.3155,101.7768,84.683,61.01
2/10/2014,62.193,102.1396,84.7418,60.74
2/11/2014,62.439,102.4811,85.2813,61.01
2/12/2014,62.125,102.2515,84.7215,60.6
2/13/2014,62.2725,103.4658,84.871,61.02
2/14/2014,62.277,103.6663,85.1755,61.22
2/17/2014,61.9495,104.0194,84.9485,60.97
2/18/2014,62.122,103.9301,85.168,60.51
2/20/2014,62.2843,103.8404,85.6995,61.17
2/21/2014,62.1618,103.4435,85.2685,60.66
2/24/2014,62.1185,103.3838,85.3235,60.71
2/25/2014,61.9765,103.3086,85.1435,60.51
2/26/2014,61.938,103.3126,85.1148,60.53
2/28/2014,62.072,103.6106,85.0285,60.99
3/3/2014,61.8605,103.5235,85.3085,61.01
3/4/2014,61.9045,103.2567,85.1365,60.84
3/5/2014,61.855,103.0566,84.9195,60.56
3/6/2014,61.3242,102.5402,84.1866,59.74
3/7/2014,60.985,102.0706,84.5255,59.22
3/10/2014,61.1965,102.3511,84.945,59.34
3/11/2014,60.6995,100.9675,84.159,58.78
3/12/2014,61.09,101.5927,84.6545,59.39
3/13/2014,61.0155,101.6518,85.0232,59.46
3/14/2014,61.517,102.2166,85.2265,60.57
3/18/2014,60.9453,101.3703,84.8917,59.9
3/19/2014,61.097,101.4149,85.0792,60.18
3/20/2014,61.131,101.1718,84.5925,59.76
